"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","embed_dim","epochs","loss_function","max_vocab_length","optimizer","best_epoch","best_val_loss","epoch","learning_rate","dropout_rate","f1","accuracy","precision","recall","loss","val_loss","val_accuracy","val_precision","val_recall"
"gallant-sweep-15","finished","-","jacobh0830","","2021-07-11T09:32:19.000Z","1025","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","0","0.46196308732032776","2","0.0016681005372000592","0.4","0.7688122195856528","0.7710947968369601","0.7721364433633342","0.77109479683696","0.39561396837234497","0.5056803226470947","0.7709173560142517","0.7635009288787842","0.8453608155250549"
"northern-sweep-16","finished","-","jacobh0830","","2021-07-11T09:49:25.000Z","1023","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","1","0.4669607281684875","2","0.0005994842503189409","0.4","0.769767120221452","0.7706418555494744","0.7701437276601203","0.7706418555494744","0.4152504503726959","0.4855064749717712","0.7658770084381104","0.7718499302864075","0.8153493404388428"
"sweepy-sweep-6","finished","-","jacobh0830","","2021-07-11T07:00:18.000Z","1015","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","1","0.4654283821582794","2","0.0005994842503189409","0.2","0.7675783773056837","0.7704531300130221","0.7725092364382726","0.7704531300130221","0.4125414788722992","0.48915034532547","0.7692792415618896","0.7584659457206726","0.8517754673957825"
"exalted-sweep-4","finished","-","jacobh0830","","2021-07-11T06:26:05.000Z","1032","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","0","0.4731389880180359","2","0.004641588833612782","0.2","0.7680369486559767","0.770207786815634","0.7710356372233288","0.7702077868156341","0.4367356598377228","0.47350433468818665","0.7638608813285828","0.7558020353317261","0.843069851398468"
"peachy-sweep-5","finished","-","jacobh0830","","2021-07-11T06:43:18.000Z","1019","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","0","0.4596973657608032","2","0.0016681005372000592","0.2","0.767784957596595","0.7697925906354389","0.7703634492258077","0.7697925906354389","0.38776469230651855","0.5121611952781677","0.7642388939857483","0.759575366973877","0.8359678983688354"
"rosy-sweep-17","finished","-","jacobh0830","","2021-07-11T10:06:29.000Z","1014","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.4763975739479065","2","0.00021544346900318845","0.4","0.7676349598984076","0.7696982278672128","0.7703455227901637","0.7696982278672128","0.4486607313156128","0.4763975739479065","0.7631048560142517","0.7582623362541199","0.8357388377189636"
"graceful-sweep-7","finished","-","jacobh0830","","2021-07-11T07:17:14.000Z","1012","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.47919249534606934","2","0.00021544346900318845","0.2","0.7673881176856705","0.7695095023307603","0.7702349254064637","0.7695095023307603","0.44540244340896606","0.47919249534606934","0.7653729915618896","0.7603495121002197","0.8373425006866455"
"pious-sweep-14","finished","-","jacobh0830","","2021-07-11T09:15:19.000Z","1019","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","1","0.4707320034503937","2","0.004641588833612782","0.4","0.7667416551297462","0.7684526393266273","0.7685940731697805","0.7684526393266273","0.4448446035385132","0.4772657752037048","0.7653729915618896","0.7625340819358826","0.8327605724334717"
"faithful-sweep-8","finished","-","jacobh0830","","2021-07-11T07:34:07.000Z","1002","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.49093741178512573","2","0.00007742636826811278","0.2","0.7572223422927906","0.7593183233623342","0.759635483784135","0.7593183233623342","0.4716739356517792","0.49093741178512573","0.7502520084381104","0.7490073442459106","0.8210767507553101"
"snowy-sweep-19","finished","-","jacobh0830","","2021-07-11T10:40:21.000Z","1019","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.4966427683830261","2","0.00002782559402207126","0.4","0.7563060482264227","0.7582425878045559","0.7583399512021841","0.7582425878045559","0.4863819479942322","0.4966427683830261","0.7510080933570862","0.7494257688522339","0.8222222328186035"
"lyric-sweep-18","finished","-","jacobh0830","","2021-07-11T10:23:24.000Z","1016","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.4916865527629852","2","0.00007742636826811278","0.4","0.7538652112590415","0.7573744503368751","0.7597624131043356","0.7573744503368751","0.47343769669532776","0.4916865527629852","0.7483618855476379","0.7367053031921387","0.8442153334617615"
"honest-sweep-9","finished","-","jacobh0830","","2021-07-11T07:50:50.000Z","1007","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.496793657541275","2","0.00002782559402207126","0.2","0.7536978611299754","0.7557514107233849","0.755900130692532","0.755751410723385","0.48782044649124146","0.496793657541275","0.749243974685669","0.747035562992096","0.8226804137229919"
"fluent-sweep-20","finished","-","jacobh0830","","2021-07-11T10:57:21.000Z","1021","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.5048580169677734","2","0.00001","0.4","0.7499811537835392","0.7516938116896597","0.7514000796972594","0.7516938116896598","0.5042185187339783","0.5048580169677734","0.7458417415618896","0.7490453720092773","0.8089346885681152"
"wise-sweep-10","finished","-","jacobh0830","","2021-07-11T08:07:38.000Z","1004","2gcn07qh","LSTM","128","128","3","binary_crossentropy","50000","adam","2","0.5051153898239136","2","0.00001","0.2","0.7496514255098952","0.7515994489214336","0.7515122925759508","0.7515994489214336","0.5048041939735413","0.5051153898239136","0.7516381144523621","0.751259446144104","0.8199312686920166"
