"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","epochs","max_vocab_length","loss_function","optimizer","best_epoch","dense_units","dropout_rate","embed_dim","learning_rate","best_val_loss","f1","accuracy","precision","recall","loss","val_loss","val_accuracy","val_precision","val_recall"
"snowy-sweep-210","finished","-","jacobh0830","","2021-07-13T09:14:19.000Z","547","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.4","300","0.0001","0.5005238056182861","0.7898644551161228","0.7580349897144584","0.7586901763224181","0.8237103886780843","0.5063278079032898","0.5039589405059814","0.7437118887901306","0.7827674150466919","0.7408431172370911"
"vague-sweep-120","finished","-","jacobh0830","","2021-07-12T20:43:14.000Z","505","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.8","300","0.0001","0.5131423473358154","0.7896560686130123","0.7250646384962348","0.6835395575553056","0.9347759204184186","0.5470156073570251","0.5131423473358154","0.7374237775802612","0.7612892389297485","0.7631306052207947"
"fine-sweep-64","finished","-","jacobh0830","","2021-07-12T07:14:31.000Z","631","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","100","0.00031622776601683794","0.49850133061409","0.7895614281234009","0.759393813576915","0.7633897223108841","0.8175913581513007","0.5056018233299255","0.49850133061409","0.7510480284690857","0.7551020383834839","0.8118520975112915"
"rare-sweep-139","finished","-","jacobh0830","","2021-07-12T23:15:34.000Z","461","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","64","0.4","100","0.00031622776601683794","0.4989880919456482","0.7894624187042067","0.7586766565383962","0.7615145162314974","0.8195398762520083","0.5068446397781372","0.503162145614624","0.7459985017776489","0.7734758257865906","0.7627850770950317"
"ancient-sweep-206","finished","-","jacobh0830","","2021-07-13T08:37:37.000Z","550","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.4","300","0.01","0.49212050437927246","0.7894318568856741","0.7549776360239303","0.7510492531786199","0.8319488599459884","0.4995313882827759","0.49212050437927246","0.7548589706420898","0.7718586325645447","0.7885279655456543"
"golden-sweep-191","finished","-","jacobh0830","","2021-07-13T06:28:15.000Z","549","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","5","128","0.2","300","0.01","0.49305909872055054","0.7890600748280426","0.7563364598863872","0.7557113350441259","0.825487984138379","0.49996957182884216","0.49500125646591187","0.7520007491111755","0.7673325538635254","0.7897374033927917"
"drawn-sweep-79","finished","-","jacobh0830","","2021-07-12T09:56:03.000Z","581","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.4","100","0.00031622776601683794","0.500052809715271","0.7890358920618287","0.7568460188348085","0.7572205286149785","0.8236420196219191","0.51109778881073","0.500052809715271","0.7446646094322205","0.7615281343460083","0.7817898988723755"
"sunny-sweep-15","finished","-","jacobh0830","","2021-07-11T22:33:33.000Z","645","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.2","300","0.0001","0.5020484924316406","0.7890183299389002","0.7556193028478684","0.7537824543926281","0.8277099784637473","0.5161891579627991","0.5052814483642578","0.7490472793579102","0.7507951855659485","0.8156530857086182"
"exalted-sweep-101","finished","-","jacobh0830","","2021-07-12T18:10:12.000Z","504","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.6","300","0.01","0.4998328983783722","0.7887011462838217","0.751958027440693","0.7444761442272672","0.8385122893378457","0.5224603414535522","0.5019992589950562","0.7486661672592163","0.762063205242157","0.7912923097610474"
"cerulean-sweep-198","finished","-","jacobh0830","","2021-07-13T07:30:56.000Z","479","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.4","100","0.001","0.4815589487552643","0.7882629027561282","0.7667163643912658","0.789981459864039","0.7865518066523092","0.482259213924408","0.4851186275482178","0.7595274448394775","0.7390158176422119","0.8718037605285645"
"fancy-sweep-195","finished","-","jacobh0830","","2021-07-13T07:05:15.000Z","571","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.2","300","0.0001","0.5027779340744019","0.7879664639158311","0.7565818030837754","0.7589701364917504","0.8192664000273476","0.5066307187080383","0.5092522501945496","0.7373285293579102","0.7857816219329834","0.719937801361084"
"fresh-sweep-54","finished","-","jacobh0830","","2021-07-12T05:26:23.000Z","642","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.8","200","0.00031622776601683794","0.5492050647735596","0.7879650598511808","0.7526185668182762","0.7478736143949397","0.8325983659795576","0.6034667491912842","0.5492050647735596","0.7326600551605225","0.7758046388626099","0.7246026396751404"
"rich-sweep-75","finished","-","jacobh0830","","2021-07-12T09:15:02.000Z","664","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","300","0.0001","0.4992524981498718","0.7877550342812557","0.7587144016456867","0.7657500645494448","0.8110621132875261","0.5057204961776733","0.4992524981498718","0.7520960569381714","0.7608054876327515","0.8028680086135864"
"hearty-sweep-130","finished","-","jacobh0830","","2021-07-12T22:01:06.000Z","478","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.2","200","0.0001","0.5098726749420166","0.7873626814208965","0.7497688112178459","0.7415866110809014","0.8391617953714149","0.5146378874778748","0.5098726749420166","0.7422827482223511","0.7718215584754944","0.756219744682312"
"stellar-sweep-126","finished","-","jacobh0830","","2021-07-12T21:29:10.000Z","478","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","6","64","0.2","200","0.01","0.4929971396923065","0.7867958212113197","0.7565818030837754","0.7617386294529974","0.8135575838375552","0.49986302852630615","0.496783971786499","0.7504763603210449","0.7592865228652954","0.8016586303710938"
"smooth-sweep-180","finished","-","jacobh0830","","2021-07-13T04:56:47.000Z","543","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.8","300","0.0001","0.5080816745758057","0.7866314691695999","0.7528827825693094","0.7515802584462089","0.8251119543294705","0.5302104353904724","0.5080816745758057","0.7423780560493469","0.7683606147766113","0.7627850770950317"
"devoted-sweep-229","finished","-","jacobh0830","","2021-07-13T11:58:16.000Z","481","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.8","100","0.00031622776601683794","0.5027086138725281","0.7864241701451004","0.7566572932983562","0.7628458498023716","0.8115065121525997","0.5207340717315674","0.5027086138725281","0.7467606663703918","0.7683470249176025","0.7741879820823669"
"laced-sweep-25","finished","-","jacobh0830","","2021-07-12T00:16:17.000Z","628","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.4","200","0.0001","0.5157355070114136","0.7863313742492855","0.7488818011965199","0.7414675509524242","0.8369739855741292","0.5364995002746582","0.5157355070114136","0.7402819991111755","0.7466172575950623","0.8007947206497192"
"jumping-sweep-40","finished","-","jacobh0830","","2021-07-12T02:53:51.000Z","648","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.6","200","0.0001","0.5232015252113342","0.7862107055737101","0.737010964953668","0.7131763527054108","0.875910163060199","0.5673523545265198","0.5337864756584167","0.7350419163703918","0.761069655418396","0.7572563886642456"
"chocolate-sweep-125","finished","-","jacobh0830","","2021-07-12T21:21:43.000Z","446","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","64","0.2","100","0.0001","0.5255926251411438","0.7860944365369145","0.7390680733009983","0.7180001695729588","0.8684579359381944","0.528754711151123","0.5360655188560486","0.7211318612098694","0.7893991470336914","0.6741534471511841"
"eternal-sweep-80","finished","-","jacobh0830","","2021-07-12T10:05:45.000Z","586","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.4","100","0.0001","0.5195038318634033","0.7852114889070453","0.7420121916696548","0.7265563664912331","0.8541688031996718","0.5346947312355042","0.5195038318634033","0.7371379733085632","0.7358666658401489","0.816344141960144"
"efficient-sweep-49","finished","-","jacobh0830","","2021-07-12T04:32:16.000Z","632","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.8","100","0.00031622776601683794","0.5312104821205139","0.785120237250983","0.7483911148017438","0.742764783019731","0.8325983659795576","0.5988126993179321","0.5388262271881104","0.7379001379013062","0.7402309775352478","0.8083966970443726"
"polar-sweep-95","finished","-","jacobh0830","","2021-07-12T17:23:48.000Z","439","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.6","100","0.0001","0.5254161953926086","0.7849011384062312","0.7357653764130825","0.7127908923489034","0.8732437698697569","0.543330729007721","0.5264686346054077","0.730182945728302","0.7557978630065918","0.7544920444488525"
"vibrant-sweep-200","finished","-","jacobh0830","","2021-07-13T07:46:55.000Z","475","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.4","100","0.0001","0.5195541381835938","0.7848281189648512","0.7371619453828298","0.7160295444294091","0.8682528287696988","0.5279526114463806","0.5195541381835938","0.7317073345184326","0.7618041038513184","0.7470628619194031"
"curious-sweep-226","finished","-","jacobh0830","","2021-07-13T11:33:18.000Z","486","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.8","100","0.01","0.5148872137069702","0.7847486236216498","0.7424840055107856","0.7286015583806902","0.8502717669982566","0.5399322509765625","0.5148872137069702","0.7402819991111755","0.7480557560920715","0.7976848483085632"
"lyric-sweep-179","finished","-","jacobh0830","","2021-07-13T04:47:47.000Z","539","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.8","300","0.00031622776601683794","0.48949530720710754","0.7846980605601296","0.7640930794345784","0.7908002082971707","0.7786893651933136","0.506564199924469","0.48949530720710754","0.7576219439506531","0.7505406141281128","0.8394954800605774"
"silver-sweep-184","finished","-","jacobh0830","","2021-07-13T05:29:49.000Z","475","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.2","100","0.00031622776601683794","0.4993004202842712","0.7842998823331653","0.7578273916243607","0.7715381816979198","0.7974908556387379","0.5018935203552246","0.4993004202842712","0.7520960569381714","0.7666555047035217","0.7912923097610474"
"youthful-sweep-19","finished","-","jacobh0830","","2021-07-11T23:14:57.000Z","591","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.4","100","0.00031622776601683794","0.503158450126648","0.7841863890469654","0.7566572932983562","0.7682418915816744","0.8008067548627491","0.5244626998901367","0.5089011788368225","0.7479039430618286","0.733432412147522","0.8527988791465759"
"electric-sweep-55","finished","-","jacobh0830","","2021-07-12T05:37:06.000Z","641","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","8","0.8","200","0.0001","0.5454632639884949","0.7840687591128847","0.7344820427652066","0.7114645423653279","0.8731754008135918","0.6094189286231995","0.5589784979820251","0.7288491129875183","0.7537081837654114","0.7550103664398193"
"upbeat-sweep-109","finished","-","jacobh0830","","2021-07-12T19:14:31.000Z","442","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","6","32","0.8","100","0.00031622776601683794","0.512397050857544","0.7835746875619917","0.7529205276766","0.7586670508018822","0.8101733155573787","0.5413873791694641","0.5128671526908875","0.7454268336296082","0.7423771023750305","0.8244643807411194"
"misunderstood-sweep-215","finished","-","jacobh0830","","2021-07-13T09:55:34.000Z","485","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","128","0.6","100","0.0001","0.5230480432510376","0.7824834615262876","0.7406156226999075","0.7285238558335544","0.8450757187297029","0.5352051854133606","0.5262812972068787","0.7264672517776489","0.7729740142822266","0.7135452628135681"
"wise-sweep-155","finished","-","jacobh0830","","2021-07-13T01:27:25.000Z","452","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.6","100","0.0001","0.5270261168479919","0.7822083941837578","0.7410685639873933","0.7301662567050944","0.842238402898848","0.537592351436615","0.5270261168479919","0.7258002758026123","0.7708488702774048","0.7154457569122314"
"giddy-sweep-39","finished","-","jacobh0830","","2021-07-12T02:42:55.000Z","655","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","5","8","0.6","200","0.00031622776601683794","0.5060192942619324","0.7811177987962167","0.759790137203465","0.7859293352251099","0.7763648172836974","0.5471168756484985","0.5133366584777832","0.7506669163703918","0.7596201300621033","0.8014858365058899"
"fluent-sweep-170","finished","-","jacobh0830","","2021-07-13T03:30:03.000Z","464","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.8","100","0.0001","0.5356891751289368","0.7808703335542302","0.7378979749749939","0.7251282051282051","0.8458961474036851","0.5535842180252075","0.5356891751289368","0.7276105284690857","0.7537688612937927","0.7515549659729004"
