"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","dropout_rate","embed_dim","epochs","learning_rate","loss_function","max_vocab_length","optimizer","accuracy","best_epoch","best_val_loss","epoch","f1","loss","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"quiet-sweep-5","finished","-","jacobh0830","","2021-07-10T17:22:36.000Z","660","ixsr953s","LSTM","128","0.2","128","3","0.0005179474679231213","binary_crossentropy","20000","adam","79.71798114002806","1","0.4707642495632171","2","0.7943329828329777","0.43514519929885864","0.8009141453707","0.7971798114002806","0.7699092626571655","0.4753122627735138","0.7551758885383606","0.8607102036476135"
"trim-sweep-29","finished","-","jacobh0830","","2021-07-10T21:54:12.000Z","710","ixsr953s","LSTM","128","0.8","128","3","0.0005179474679231213","binary_crossentropy","20000","adam","79.44527273985443","1","0.47347819805145264","2","0.7924522476729428","0.4435429275035858","0.7959631705978752","0.7944527273985443","0.7696572542190552","0.4738840460777282","0.760098397731781","0.8492554426193237"
"warm-sweep-28","finished","-","jacobh0830","","2021-07-10T21:42:54.000Z","677","ixsr953s","LSTM","128","0.8","128","3","0.0019306977288832496","binary_crossentropy","20000","adam","80.7461159236123","0","0.464804470539093","2","0.8044860682808506","0.429360032081604","0.8124737667496069","0.8074611592361229","0.768775224685669","0.47798195481300354","0.7518916726112366","0.8650630116462708"
"morning-sweep-4","finished","-","jacobh0830","","2021-07-10T17:10:54.000Z","701","ixsr953s","LSTM","128","0.2","128","3","0.0019306977288832496","binary_crossentropy","20000","adam","81.16036847612517","1","0.4683334231376648","2","0.8094856140371919","0.4183623492717743","0.8143443898483834","0.8116036847612517","0.7678931355476379","0.4787348210811615","0.7580282092094421","0.8490263223648071"
"glad-sweep-13","finished","-","jacobh0830","","2021-07-10T18:51:40.000Z","683","ixsr953s","LSTM","128","0.4","128","3","0.0005179474679231213","binary_crossentropy","20000","adam","79.51059274497099","1","0.4715536236763001","2","0.7924725037633891","0.435772180557251","0.7981240182066061","0.7951059274497099","0.7677671313285828","0.4886690080165863","0.7546445727348328","0.8561282753944397"
"smooth-sweep-12","finished","-","jacobh0830","","2021-07-10T18:40:26.000Z","673","ixsr953s","LSTM","128","0.4","128","3","0.0019306977288832496","binary_crossentropy","20000","adam","81.14317348280396","1","0.46454575657844543","2","0.8094926536625463","0.4199866652488709","0.8136716490549012","0.8114317348280395","0.7673891186714172","0.4829762279987335","0.7577245831489563","0.8483390808105469"
"ethereal-sweep-20","finished","-","jacobh0830","","2021-07-10T20:12:09.000Z","687","ixsr953s","LSTM","128","0.6","128","3","0.0019306977288832496","binary_crossentropy","20000","adam","80.743494735606","1","0.46728670597076416","2","0.8046134535453121","0.4238840341567993","0.8119578405305687","0.80743494735606","0.7667590975761414","0.4881003797054291","0.7483208179473877","0.8678121566772461"
"upbeat-sweep-21","finished","-","jacobh0830","","2021-07-10T20:23:37.000Z","679","ixsr953s","LSTM","128","0.6","128","3","0.0005179474679231213","binary_crossentropy","20000","adam","79.68631718891217","1","0.47229239344596863","2","0.7943250676318795","0.4379621148109436","0.7997601781998208","0.7968631718891217","0.7660030126571655","0.48228123784065247","0.7547745108604431","0.8510882258415222"
"fine-sweep-3","finished","-","jacobh0830","","2021-07-10T16:59:50.000Z","663","ixsr953s","LSTM","128","0.2","128","3","0.0071968567300115215","binary_crossentropy","20000","adam","76.31515487027217","2","0.49602529406547546","2","0.7604883832468007","0.49377039074897766","0.7643499787182112","0.7631515487027216","0.7569304704666138","0.49602529406547546","0.7484700083732605","0.8405498266220093"
"hardy-sweep-6","finished","-","jacobh0830","","2021-07-10T17:33:37.000Z","666","ixsr953s","LSTM","128","0.2","128","3","0.0001389495494373139","binary_crossentropy","20000","adam","77.73154002134696","2","0.4824312925338745","2","0.7742833409391061","0.4697574973106384","0.7800301254737854","0.7773154002134696","0.7565523982048035","0.4824312925338745","0.744032084941864","0.8497136235237122"
"azure-sweep-14","finished","-","jacobh0830","","2021-07-10T19:03:04.000Z","721","ixsr953s","LSTM","128","0.4","128","3","0.0001389495494373139","binary_crossentropy","20000","adam","77.55025865883246","2","0.48494309186935425","2","0.773952098554032","0.4748212993144989","0.7755963962343724","0.7755025865883246","0.7540322542190552","0.48494309186935425","0.7544821500778198","0.8194730877876282"
"iconic-sweep-22","finished","-","jacobh0830","","2021-07-10T20:34:57.000Z","672","ixsr953s","LSTM","128","0.6","128","3","0.0001389495494373139","binary_crossentropy","20000","adam","77.19356739493755","2","0.4885433614253998","2","0.7689801450117518","0.479396253824234","0.7741401002398935","0.7719356739493755","0.7518901228904724","0.4885433614253998","0.7424119710922241","0.8405498266220093"
"ethereal-sweep-8","finished","-","jacobh0830","","2021-07-10T17:56:04.000Z","663","ixsr953s","LSTM","128","0.2","128","3","0.00001","binary_crossentropy","20000","adam","75.53026633367095","2","0.5056052207946777","2","0.7531249811033175","0.5049047470092773","0.7555134223253557","0.7553026633367095","0.7511340975761414","0.5056052207946777","0.7508396506309509","0.8194730877876282"
"wise-sweep-32","finished","-","jacobh0830","","2021-07-10T22:28:48.000Z","685","ixsr953s","LSTM","128","0.8","128","3","0.00001","binary_crossentropy","20000","adam","75.35517097485128","2","0.5067278146743774","2","0.7506723281226926","0.5184816122055054","0.754596993584604","0.7535517097485127","0.7508820295333862","0.5067278146743774","0.7445719242095947","0.8327605724334717"
