"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","embedding_dimension","epochs","max_vocab_length","loss_function","optimizer","learning_rate","dense_units","dropout_rate","filters","kernel_size","pool_size","best_epoch","best_val_loss","loss","f1","accuracy","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"dainty-sweep-2","finished","-","jacobh0830","","2021-07-13T18:30:22.000Z","202","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","8","3","5","5","0.5150408744812012","0.52054363489151","0.7833298973976752","0.7421442995451715","0.7305803703484589","0.8442894745838033","0.7403773069381714","0.5173861980438232","0.7290264964103699","0.8422598242759705"
"hardy-sweep-62","finished","-","jacobh0830","","2021-07-13T22:19:07.000Z","222","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.2","8","3","5","8","0.5134131908416748","0.5181884169578552","0.7832857347990491","0.7436541038367902","0.7344123982766874","0.8391276108433323","0.7440930008888245","0.5134131908416748","0.7324640154838562","0.8443331122398376"
"still-sweep-141","finished","-","jacobh0830","","2021-07-14T03:52:47.000Z","251","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","8","3","3","7","0.515302300453186","0.5228018164634705","0.7826643211258596","0.7435219959612734","0.7353427292123689","0.8364954021809728","0.7418063879013062","0.5199514031410217","0.7740384340286255","0.7510366439819336"
"revived-sweep-121","finished","-","jacobh0830","","2021-07-14T02:25:23.000Z","242","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.2","8","3","3","8","0.5165490508079529","0.5210229754447937","0.7823117310055375","0.7425594957253666","0.7336426219694702","0.8378969678323591","0.7393292784690857","0.5165490508079529","0.7475665211677551","0.7961299419403076"
"fallen-sweep-142","finished","-","jacobh0830","","2021-07-14T03:56:59.000Z","250","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","8","3","5","8","0.5209693312644958","0.525619387626648","0.7821947807044224","0.7297072866929625","0.7045174369229926","0.8791235086999624","0.7354230284690857","0.5209693312644958","0.745395302772522","0.7900829315185547"
"logical-sweep-163","finished","-","jacobh0830","","2021-07-14T05:30:10.000Z","238","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","8","5","3","8","0.5158807039260864","0.5214594006538391","0.782004010608707","0.7455979768622493","0.742043396863395","0.8265135199808566","0.7411394715309143","0.5158807039260864","0.7498779296875","0.7961299419403076"
"summer-sweep-42","finished","-","jacobh0830","","2021-07-13T20:58:26.000Z","228","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.6","8","3","5","8","0.5132291316986084","0.5232723951339722","0.7817839215872564","0.7399173382150339","0.7282005899705015","0.8438792602468123","0.7403773069381714","0.5132291316986084","0.7397089004516602","0.8165169358253479"
"sleek-sweep-22","finished","-","jacobh0830","","2021-07-13T19:42:54.000Z","204","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.4","8","3","5","8","0.5125400424003601","0.5206199884414673","0.7813225806451614","0.7441259176779211","0.7396402723913641","0.8279834546884081","0.741901695728302","0.5125400424003601","0.7405844926834106","0.8187629580497742"
"cool-sweep-83","finished","-","jacobh0830","","2021-07-13T23:42:57.000Z","224","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.4","8","5","3","7","0.513678789138794","0.5192877054214478","0.7805036450130701","0.7448619472700851","0.7432741666151277","0.8216593169931289","0.7410442233085632","0.515450119972229","0.7340652346611023","0.8317208290100098"
"brisk-sweep-1","finished","-","jacobh0830","","2021-07-13T18:27:02.000Z","199","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","8","3","3","6","0.5193395614624023","0.5219441056251526","0.7803349297676062","0.7420499367769453","0.7363583972822955","0.8298977882610331","0.7371379733085632","0.5203802585601807","0.7663091421127319","0.7529371380805969"
"young-sweep-102","finished","-","jacobh0830","","2021-07-14T01:02:34.000Z","229","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.6","8","3","5","8","0.5154099464416504","0.5246602296829224","0.7778232205081224","0.7436918489440807","0.7458430068394303","0.8126687861074078","0.7403773069381714","0.5154099464416504","0.7321509718894958","0.8344851136207581"
"crisp-sweep-21","finished","-","jacobh0830","","2021-07-13T19:39:29.000Z","204","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.4","8","3","3","5","0.5147948265075684","0.5227497816085815","0.7771490252518645","0.7428425840300451","0.7450064281458719","0.8121902027142516","0.7432355284690857","0.5166746973991394","0.7450483441352844","0.8123704195022583"
"upbeat-sweep-164","finished","-","jacobh0830","","2021-07-14T05:34:09.000Z","236","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","8","5","5","6","0.5170044302940369","0.52438884973526","0.7751064570112504","0.7438428293732425","0.7520900321543408","0.7995761118517759","0.7379001379013062","0.5179334878921509","0.7281057238578796","0.837422251701355"
