"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","embed_dim","epochs","learning_rate","loss_function","max_vocab_length","optimizer","best_epoch","best_val_loss","epoch","loss","dense_units","lstm_units","f1","accuracy","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"floral-sweep-24","finished","-","jacobh0830","","2021-07-16T04:23:26.000Z","1689","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.45783498883247375","4","0.4662744700908661","64","256","0.8124088176352706","0.7791722497971201","0.7649598454199625","0.8661333880285783","0.7742949724197388","0.45783498883247375","0.7659044861793518","0.8507256507873535"
"easy-sweep-18","finished","-","jacobh0830","","2021-07-16T01:49:40.000Z","1652","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4605180621147156","4","0.4660364389419556","32","256","0.8102373046084069","0.7789080340460868","0.7699649036389384","0.8549550473455714","0.7758193612098694","0.4605180621147156","0.7643527984619141","0.8579820394515991"
"vital-sweep-10","finished","-","jacobh0830","","2021-07-15T22:18:38.000Z","1598","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4613620936870575","4","0.4662756621837616","16","64","0.8081409616674573","0.778681563402344","0.7749607781612802","0.8442894745838033","0.7750571370124817","0.4613620936870575","0.7606083750724792","0.864029049873352"
"light-sweep-16","finished","-","jacobh0830","","2021-07-16T00:58:51.000Z","1530","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4614463448524475","4","0.466526061296463","32","64","0.8074271773123967","0.778039896578406","0.7748585795097424","0.8428537244043346","0.773723304271698","0.4614463448524475","0.7759987115859985","0.8289564847946167"
"sandy-sweep-35","finished","-","jacobh0830","","2021-07-16T09:08:58.000Z","1601","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46175357699394226","4","0.4653920829296112","256","128","0.8097625671216925","0.7780210240247608","0.7684727551803531","0.8557412914914709","0.77734375","0.46175357699394226","0.7573452591896057","0.8773323893547058"
"avid-sweep-28","finished","-","jacobh0830","","2021-07-16T06:06:44.000Z","1504","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4574081599712372","4","0.4665467441082001","128","64","0.8118143729810983","0.7779077887028893","0.7626874192482197","0.8677058763203774","0.7751524448394775","0.4574081599712372","0.7673947215080261","0.8498618006706238"
"stoic-sweep-29","finished","-","jacobh0830","","2021-07-16T06:31:49.000Z","1526","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4609103202819824","4","0.4668246507644654","128","128","0.809253982644735","0.7776435729518562","0.7686606181762263","0.8543739103681673","0.7742949724197388","0.4609103202819824","0.7572610974311829","0.8693849444389343"
"scarlet-sweep-30","finished","-","jacobh0830","","2021-07-16T06:57:16.000Z","1678","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46563920378685","4","0.46755683422088623","128","256","0.8092266908056382","0.7772661218789514","0.7675630922081507","0.8556729224353058","0.7734375","0.46563920378685","0.7582550644874573","0.8648928999900818"
"devoted-sweep-22","finished","-","jacobh0830","","2021-07-16T03:32:16.000Z","1521","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46169736981391907","4","0.4653939306735992","64","64","0.8105280051356123","0.7771906316643705","0.7638926702362586","0.8632277031415582","0.7741044163703918","0.46169736981391907","0.7771289348602295","0.8277470469474792"
"major-sweep-23","finished","-","jacobh0830","","2021-07-16T03:57:38.000Z","1547","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4582471251487732","4","0.4648890197277069","64","128","0.8072870796229247","0.7770019061279182","0.7719347493839868","0.8460328855160154","0.7765815258026123","0.4582471251487732","0.7782447338104248","0.8318935632705688"
"scarlet-sweep-6","finished","-","jacobh0830","","2021-07-15T20:35:37.000Z","1629","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4630864262580872","4","0.46699532866477966","8","256","0.8111253196930946","0.7770019061279182","0.7617617918155343","0.8673298465114689","0.7746760845184326","0.4630864262580872","0.7523219585418701","0.8816516995429993"
"smooth-sweep-33","finished","-","jacobh0830","","2021-07-16T08:15:53.000Z","1526","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.46068274974823","4","0.4657873809337616","256","32","0.809083724456057","0.7766055825013684","0.7659093685110541","0.8574163333675179","0.7746760845184326","0.46068274974823","0.7554096579551697","0.8745680451393127"
"avid-sweep-5","finished","-","jacobh0830","","2021-07-15T20:10:45.000Z","1491","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4603764712810517","4","0.4657573103904724","8","128","0.8115388289234884","0.776586709947723","0.7594529364440868","0.8712952517690493","0.7718178629875183","0.4603764712810517","0.7677979469299316","0.8403593897819519"
"expert-sweep-3","finished","-","jacobh0830","","2021-07-15T19:21:11.000Z","1498","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4604618847370148","4","0.46663641929626465","8","32","0.808491374432103","0.7764546020722064","0.7670102460273637","0.8547157556489933","0.7762004733085632","0.4604618847370148","0.7600967884063721","0.8681755065917969"
"stellar-sweep-27","finished","-","jacobh0830","","2021-07-16T05:41:43.000Z","1500","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.45987486839294434","4","0.4677285552024842","128","32","0.8064868745207446","0.7761526412138826","0.771410736579276","0.84490479608929","0.7756288051605225","0.45987486839294434","0.7732844948768616","0.8391499519348145"
"resilient-sweep-17","finished","-","jacobh0830","","2021-07-16T01:24:22.000Z","1517","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.458472192287445","4","0.46552538871765137","32","128","0.8053561477693644","0.7758695529092041","0.77355876704134","0.8398796704611493","0.7706745266914368","0.458472192287445","0.7782716155052185","0.8168624639511108"
"swift-sweep-9","finished","-","jacobh0830","","2021-07-15T21:52:07.000Z","1590","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.461096465587616","4","0.4664870798587799","16","32","0.8109519261381727","0.7758695529092041","0.758840527899425","0.8707482993197279","0.7748666405677795","0.461096465587616","0.7518752813339233","0.8832066059112549"
"electric-sweep-21","finished","-","jacobh0830","","2021-07-16T03:06:58.000Z","1516","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4581635296344757","4","0.4660643339157105","64","32","0.8028945097258182","0.7758695529092041","0.7802832349430627","0.8268553652616826","0.7761051654815674","0.4581635296344757","0.7751280665397644","0.8367311954498291"
"daily-sweep-15","finished","-","jacobh0830","","2021-07-16T00:32:46.000Z","1564","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.45784851908683777","4","0.46578189730644226","32","32","0.8090992336980095","0.7757374450336875","0.7632296781232951","0.8608347861757768","0.7755335569381714","0.45784851908683777","0.7672896981239319","0.8510711789131165"
"amber-sweep-12","finished","-","jacobh0830","","2021-07-15T23:11:46.000Z","1682","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4601539373397827","4","0.4660712480545044","16","256","0.811798419911021","0.7756619548191065","0.7560752624749322","0.8763887464533552","0.7744855284690857","0.4601539373397827","0.785988986492157","0.8121976256370544"
"hopeful-sweep-36","finished","-","jacobh0830","","2021-07-16T09:35:40.000Z","1723","rcv8o7pp","LSTM","128","256","5","0.001","binary_crossentropy","70000","adam","4","0.4611356854438782","4","0.46869510412216187","256","256","0.8100280683847921","0.7751901409779758","0.7592000239155781","0.8681502751854511","0.7733422517776489","0.4611356854438782","0.785271942615509","0.8106427192687988"
